Molecule Name,CDD Number,SARS-CoV-2-MPro_fluorescence-dose-response_weizmann: IC50 (µM),MERS-CoV-MPro_fluorescence-dose-response_weizmann: IC50 (µM)
ASAP-0027832,"",> 99.500,> 99.500
ASAP-0027831,"",0.001,0.262
ASAP-0027823,"",77.791,27.632
ASAP-0027821,"",0.001,0.085
ASAP-0027820,"",0.002,0.072
ASAP-0027819,"",0.006,0.398
ASAP-0027818,"",0.001,0.097
ASAP-0027809,"",0.005,1.151
ASAP-0027802,"",0.005,0.763
ASAP-0027801,"",0.001,0.077
ASAP-0027797,"",0.001,0.088
ASAP-0027795,"",0.002,0.123
ASAP-0027791,"",0.010,1.391
ASAP-0027783,"",0.001,0.084
ASAP-0027780,"",0.008,0.446
ASAP-0027774,"",0.012,1.009
ASAP-0027773,"",0.004,0.459
ASAP-0027765,"",0.002,0.178
ASAP-0027755,"",0.002,0.129
ASAP-0027737,"",0.002,0.298
ASAP-0027733,"",0.001,0.091
ASAP-0027691,"",0.002,0.137
ASAP-0027690,"",0.024,1.423
ASAP-0027689,"",0.012,1.249
ASAP-0027688,"",0.002,0.251
ASAP-0027687,"",0.006,0.958
ASAP-0027686,"",0.001,0.095
ASAP-0027685,"",0.001,0.104
ASAP-0027684,"",0.001,0.134
ASAP-0027683,"",0.001,0.131
ASAP-0027682,"",0.001,0.132
ASAP-0027681,"",0.005,0.713
ASAP-0027680,"",0.004,0.650
ASAP-0027679,"",0.001,0.106
ASAP-0027678,"",0.001,0.109
ASAP-0027677,"",0.002,0.298
ASAP-0027676,"",0.001,0.132
ASAP-0027675,"",0.001,0.054
ASAP-0027639,"",0.002,0.133
ASAP-0027631,"",0.022,(IC50 could not be calculated)
ASAP-0027591,"",0.005,1.554
ASAP-0027567,"",0.002,0.560
ASAP-0027562,"",0.001,0.129
ASAP-0023511,"",0.003,0.912
ASAP-0023481,"",0.002,0.339
ASAP-0023469,"",0.002,0.343
ASAP-0023457,"",0.002,0.405
ASAP-0023449,"",0.001,0.342
ASAP-0023389,"",0.003,0.768
ASAP-0023368,"",0.002,0.333
ASAP-0023359,"",0.002,0.705
ASAP-0023351,"",0.002,0.394
ASAP-0023195,"",0.018,0.959
ASAP-0023194,"",0.002,0.943
ASAP-0023193,"",0.002,0.375
ASAP-0023179,"",> 99.500,9.639
ASAP-0022997,"",0.003,0.532
ASAP-0022941,"",0.027,0.746
ASAP-0022922,"",6.255,1.755
ASAP-0022467,"",0.009,2.378
ASAP-0022467,"",0.012,""
ASAP-0022466,"",0.003,0.880
ASAP-0022466,"",0.004,""
ASAP-0022465,"",0.015,2.252
ASAP-0022465,"",0.019,""
ASAP-0022464,"",0.002,0.132
ASAP-0022464,"",0.002,""
ASAP-0022459,"",0.006,5.655
ASAP-0022459,"",0.005,""
ASAP-0022458,"",0.059,3.055
ASAP-0022458,"",0.040,""
ASAP-0022457,"",1.854,> 99.500
ASAP-0022457,"",1.305,""
ASAP-0022456,"",0.039,1.507
ASAP-0022456,"",0.030,""
ASAP-0021629,"",0.002,0.420
ASAP-0021629,"",0.004,""
ASAP-0021240,"",0.001,0.116
ASAP-0021226,"",0.005,0.129
ASAP-0021223,"",0.004,0.430
ASAP-0021184,"",0.004,0.790
ASAP-0021181,"",0.024,1.068
ASAP-0021176,"",0.001,0.091
ASAP-0021174,"",0.136,> 99.500
ASAP-0021173,"",1.789,2.293
ASAP-0021170,"",0.003,0.417
ASAP-0021103,"",3.932,(IC50 could not be calculated)
ASAP-0021090,"",0.003,0.942
ASAP-0021055,"",55.426,> 99.500
ASAP-0020981,"",0.002,0.055
ASAP-0020966,"",0.002,0.050
ASAP-0020960,"",0.006,0.121
ASAP-0020945,"",0.006,0.146
ASAP-0020941,"",1.312,> 99.500
ASAP-0020888,"",0.002,0.039
ASAP-0020885,"",0.004,0.463
ASAP-0017740,"",0.038,0.489
ASAP-0017740,"",0.038,""
ASAP-0017727,"",0.031,0.496
ASAP-0017727,"",0.031,""
ASAP-0017714,"",0.002,0.103
ASAP-0017714,"",0.002,""
ASAP-0017685,"",0.005,34.138
ASAP-0017685,"",0.005,""
ASAP-0017681,"",0.004,0.103
ASAP-0017681,"",0.004,""
ASAP-0017664,"",0.101,0.982
ASAP-0017664,"",0.101,""
ASAP-0017661,"",0.005,0.128
ASAP-0017661,"",0.005,""
ASAP-0017656,"",0.002,0.048
ASAP-0017656,"",0.002,""
ASAP-0017653,"",0.005,0.079
ASAP-0017653,"",0.005,""
ASAP-0017647,"",0.002,0.040
ASAP-0017647,"",0.002,""
ASAP-0017451,"",0.121,8.762
ASAP-0017450,"",0.039,0.641
ASAP-0017449,"",0.004,0.056
ASAP-0017448,"",0.003,0.111
ASAP-0017447,"",0.055,1.578
ASAP-0017446,"",0.002,0.043
ASAP-0017445,"",0.001,0.092
ASAP-0017445,"",0.002,0.047
ASAP-0017445,"",0.001,0.094
ASAP-0017433,"",> 99.500,> 99.500
ASAP-0017428,"",16.310,7.468
ASAP-0017420,"",> 99.500,> 99.500
ASAP-0017393,"",2.561,35.564
ASAP-0017386,"",0.043,9.919
ASAP-0017370,"",0.002,0.177
ASAP-0017339,"",0.003,2.200
ASAP-0017328,"",0.009,0.971
ASAP-0017239,"",0.004,0.155
ASAP-0017238,"",0.002,0.069
ASAP-0017148,"",10.140,11.796
ASAP-0017058,"",0.050,0.887
ASAP-0017057,"",0.002,1.026
ASAP-0017056,"",0.015,0.433
ASAP-0016983,"",0.139,7.886
ASAP-0016974,"",0.002,0.144
ASAP-0016973,"",44.252,> 99.500
ASAP-0016902,"",0.002,5.241
ASAP-0016846,"",0.029,0.191
ASAP-0016845,"",0.002,0.115
ASAP-0016838,"",0.555,(IC50 could not be calculated)
ASAP-0016823,"",0.036,0.322
ASAP-0016819,"",0.039,0.410
ASAP-0016748,"",> 99.500,> 99.500
ASAP-0016593,"",0.005,0.435
ASAP-0016592,"",0.009,6.191
ASAP-0016591,"",0.027,1.320
ASAP-0016548,"",> 99.500,> 99.500
ASAP-0016547,"",1.296,7.881
ASAP-0016546,"",0.130,10.258
ASAP-0016545,"",0.008,0.916
ASAP-0016544,"",0.023,8.244
ASAP-0016543,"",0.194,> 99.500
ASAP-0016542,"",0.040,2.424
ASAP-0016541,"",0.013,2.474
ASAP-0016540,"",0.101,1.155
ASAP-0016539,"",0.010,0.127
ASAP-0016511,"",0.054,2.533
ASAP-0016510,"",0.002,0.317
ASAP-0016509,"",0.003,0.121
ASAP-0016508,"",0.051,9.639
ASAP-0016507,"",0.003,0.121
ASAP-0016506,"",0.001,0.064
ASAP-0016505,"",0.001,0.184
ASAP-0016504,"",0.007,1.375
ASAP-0016503,"",0.035,0.747
ASAP-0016440,"",63.146,91.232
ASAP-0016439,"",> 99.500,> 99.500
ASAP-0016438,"",4.825,68.716
ASAP-0016433,"",0.020,(IC50 could not be calculated)
ASAP-0016432,"",1.713,> 99.500
ASAP-0016377,"",0.025,0.393
ASAP-0016376,"",0.004,0.431
ASAP-0016375,"",0.005,0.118
ASAP-0016110,"",0.013,1.252
ASAP-0016106,"",0.010,1.086
ASAP-0016104,"",2.942,> 99.500
ASAP-0016101,"",0.008,1.207
ASAP-0016097,"",0.002,0.113
ASAP-0016094,"",0.018,0.815
ASAP-0015916,"",0.075,1.134
ASAP-0015913,"",0.096,1.341
ASAP-0015910,"",0.065,0.867
ASAP-0015906,"",0.029,0.502
ASAP-0015904,"",0.026,0.411
ASAP-0015900,"",0.024,4.099
ASAP-0015896,"",0.002,0.630
ASAP-0015780,"",1.429,> 99.500
ASAP-0015777,"",0.075,28.316
ASAP-0015773,"",0.011,5.264
ASAP-0015679,"",0.030,2.187
ASAP-0015677,"",0.023,1.054
ASAP-0015672,"",0.013,1.069
ASAP-0015669,"",0.016,1.163
ASAP-0015666,"",0.022,1.646
ASAP-0015663,"",0.024,1.279
ASAP-0015660,"",0.011,1.101
ASAP-0015657,"",0.014,1.017
ASAP-0015656,"",0.014,0.595
ASAP-0015652,"",0.005,1.172
ASAP-0015652,"",0.005,1.338
ASAP-0015648,"",0.007,5.586
ASAP-0015646,"",0.002,0.056
ASAP-0015642,"",0.003,1.103
ASAP-0015638,"",0.003,2.588
ASAP-0015522,"",2.794,> 99.500
ASAP-0015521,"",0.008,0.396
ASAP-0015517,"",0.002,0.392
ASAP-0015514,"",0.027,2.138
ASAP-0015512,"",0.052,6.963
ASAP-0015508,"",0.037,1.718
ASAP-0015389,"",0.019,5.357
ASAP-0015385,"",0.010,1.975
ASAP-0015380,"",0.031,9.897
ASAP-0015376,"",0.014,1.561
ASAP-0015306,"",0.003,0.175
ASAP-0015301,"",0.003,0.318
ASAP-0015297,"",0.030,5.220
ASAP-0015294,"",0.006,1.550
ASAP-0015290,"",0.132,13.646
ASAP-0015242,"",0.003,2.219
ASAP-0015239,"",0.007,0.166
ASAP-0015235,"",0.042,2.459
ASAP-0015232,"",0.013,1.547
ASAP-0015229,"",0.004,1.985
ASAP-0015227,"",0.006,0.748
ASAP-0015225,"",0.007,2.555
ASAP-0015223,"",0.037,3.778
ASAP-0015219,"",0.031,2.580
ASAP-0015114,"",0.058,1.128
ASAP-0015110,"",0.003,0.475
ASAP-0015108,"",0.011,0.215
ASAP-0015105,"",0.012,1.342
ASAP-0015102,"",0.003,0.300
ASAP-0015099,"",0.004,0.721
ASAP-0015096,"",0.004,0.663
ASAP-0015092,"",0.027,1.144
ASAP-0015090,"",0.003,0.170
ASAP-0015085,"",0.005,1.125
ASAP-0015079,"",14.391,> 99.500
ASAP-0015078,"",0.007,2.534
ASAP-0014973,"",0.139,1.915
ASAP-0014970,"",0.020,0.402
ASAP-0014966,"",0.009,0.877
ASAP-0014963,"",0.016,2.105
ASAP-0014959,"",0.010,1.265
ASAP-0014956,"",0.192,13.888
ASAP-0014955,"",0.028,2.618
ASAP-0014951,"",0.008,0.200
ASAP-0014948,"",0.047,3.440
ASAP-0014946,"",0.682,(IC50 could not be calculated)
ASAP-0014943,"",0.008,0.890
ASAP-0014938,"",0.054,2.573
ASAP-0014936,"",0.068,7.093
ASAP-0014931,"",0.017,1.011
ASAP-0014925,"",0.003,0.032
ASAP-0014900,"",0.012,1.235
ASAP-0014889,"",0.012,1.473
ASAP-0014888,"",0.006,0.434
ASAP-0014887,"",0.032,0.284
ASAP-0014886,"",0.005,0.292
ASAP-0014882,"",0.159,9.633
ASAP-0014881,"",0.094,2.516
ASAP-0014800,"",0.004,0.546
ASAP-0014797,"",0.003,0.109
ASAP-0014794,"",0.010,0.604
ASAP-0014791,"",0.066,8.010
ASAP-0014789,"",0.036,2.250
ASAP-0014786,"",0.003,0.054
ASAP-0014784,"",0.377,2.549
ASAP-0014780,"",0.816,34.749
ASAP-0014776,"",0.007,0.489
ASAP-0014773,"",0.009,0.463
ASAP-0014770,"",0.015,0.782
ASAP-0014769,"",0.479,25.214
ASAP-0014764,"",0.014,0.846
ASAP-0014762,"",0.211,9.371
ASAP-0014758,"",0.225,9.540
ASAP-0014753,"",0.035,0.976
ASAP-0014750,"",0.009,0.266
ASAP-0014745,"",0.121,7.902
ASAP-0014740,"",1.178,(IC50 could not be calculated)
ASAP-0014717,"",0.019,1.196
ASAP-0014654,"",89.112,(IC50 could not be calculated)
ASAP-0014649,"",0.023,92.610
ASAP-0014646,"",0.062,15.461
ASAP-0014638,"",0.064,10.273
ASAP-0014632,"",0.097,9.908
ASAP-0014619,"",0.082,(IC50 could not be calculated)
ASAP-0014618,"",0.028,(IC50 could not be calculated)
ASAP-0014613,"",0.011,1.216
ASAP-0014612,"",0.017,8.765
ASAP-0014608,"",0.008,5.403
ASAP-0014582,"",0.123,8.118
ASAP-0014572,"",0.379,(IC50 could not be calculated)
ASAP-0014554,"",2.142,(IC50 could not be calculated)
ASAP-0014553,"",0.561,21.939
ASAP-0014551,"",0.013,1.387
ASAP-0014544,"",0.036,0.474
ASAP-0014213,"",39.468,> 99.500
ASAP-0014212,"",0.029,7.832
ASAP-0013925,"",0.031,1.456
ASAP-0013898,"",0.022,1.281
ASAP-0013894,"",0.007,1.385
ASAP-0013893,"",0.012,2.190
ASAP-0013892,"",0.002,1.882
ASAP-0013891,"",0.010,2.500
ASAP-0013890,"",0.029,0.868
ASAP-0013889,"",0.175,24.190
ASAP-0013836,"",2.846,(IC50 could not be calculated)
ASAP-0013834,"",0.187,(IC50 could not be calculated)
ASAP-0013832,"",0.116,17.396
ASAP-0013814,"",0.004,11.370
ASAP-0013743,"",0.959,(IC50 could not be calculated)
ASAP-0013743,"",0.012,> 49.750
ASAP-0013739,"",0.010,2.510
ASAP-0013735,"",0.422,23.042
ASAP-0013731,"",0.014,2.365
ASAP-0013722,"",0.012,0.471
ASAP-0013721,"",0.389,10.367
ASAP-0013720,"",0.366,10.344
ASAP-0013719,"",0.670,10.818
ASAP-0013718,"",0.938,(IC50 could not be calculated)
ASAP-0013717,"",0.221,(IC50 could not be calculated)
ASAP-0013716,"",0.004,10.192
ASAP-0013715,"",28.385,9.534
ASAP-0013713,"",34.712,> 99.500
ASAP-0013646,"",9.215,3.616
ASAP-0013629,CDD-4500836,> 99.500,> 99.500
ASAP-0013612,"",0.589,17.244
ASAP-0013423,"",0.146,8.075
ASAP-0013423,"",0.071,5.503
ASAP-0013414,"",0.034,0.802
ASAP-0013414,"",< 0.050,0.471
ASAP-0013413,"",0.083,1.721
ASAP-0013413,"",< 0.050,1.181
ASAP-0013412,"",0.049,2.313
ASAP-0013412,"",< 0.050,1.511
ASAP-0013407,"",0.125,8.277
ASAP-0013407,"",0.058,5.186
ASAP-0013405,"",0.180,9.820
ASAP-0013405,"",0.094,7.108
ASAP-0013404,"",0.273,> 99.500
ASAP-0013404,"",0.147,> 99.500
ASAP-0013403,"",40.390,> 99.500
ASAP-0013403,"",21.608,> 99.500
ASAP-0013402,"",96.145,> 99.500
ASAP-0013402,"",50.875,> 99.500
ASAP-0013401,"",> 99.500,> 99.500
ASAP-0013400,"",1.048,(IC50 could not be calculated)
ASAP-0013400,"",1.178,(IC50 could not be calculated)
ASAP-0013398,"",0.053,1.198
ASAP-0013398,"",< 0.050,0.817
ASAP-0013397,"",0.031,1.816
ASAP-0013397,"",< 0.050,1.261
ASAP-0013315,"",3.457,> 99.500
ASAP-0013315,"",3.399,(IC50 could not be calculated)
ASAP-0013314,"",> 99.500,> 99.500
ASAP-0013313,"",0.499,(IC50 could not be calculated)
ASAP-0013312,"",75.472,> 99.500
ASAP-0013311,"",56.270,> 99.500
ASAP-0013310,"",0.467,(IC50 could not be calculated)
ASAP-0013309,"",1.018,(IC50 could not be calculated)
ASAP-0013308,"",31.084,> 99.500
ASAP-0013307,"",0.039,2.457
ASAP-0013306,"",47.147,> 99.500
ASAP-0013305,"",0.210,10.194
ASAP-0013304,"",0.341,(IC50 could not be calculated)
ASAP-0013303,"",0.249,(IC50 could not be calculated)
ASAP-0013302,"",0.037,(IC50 could not be calculated)
ASAP-0013301,"",0.081,1.478
ASAP-0013300,"",0.022,0.410
ASAP-0013299,"",0.003,0.133
ASAP-0013299,"",0.005,0.221
ASAP-0013299,"",0.004,0.399
ASAP-0013298,"",0.027,0.494
ASAP-0013297,"",1.058,(IC50 could not be calculated)
ASAP-0013279,"",0.055,13.172
ASAP-0013274,"",0.018,1.792
ASAP-0013273,"",0.013,0.882
ASAP-0013272,"",0.027,2.406
ASAP-0013270,"",3.320,> 99.500
ASAP-0013268,"",0.467,(IC50 could not be calculated)
ASAP-0013267,"",0.029,5.447
ASAP-0013266,"",0.010,2.145
ASAP-0013265,"",0.003,1.204
ASAP-0013264,"",0.008,2.286
ASAP-0013263,"",0.005,2.613
ASAP-0013262,"",0.052,9.773
ASAP-0013261,"",0.856,(IC50 could not be calculated)
ASAP-0013251,"",6.621,> 99.500
ASAP-0013249,"",0.482,0.637
ASAP-0012422,"",6.314,(IC50 could not be calculated)
ASAP-0012347,"",> 99.500,> 99.500
ASAP-0012345,"",> 99.500,(IC50 could not be calculated)
ASAP-0012343,"",28.013,> 99.500
ASAP-0012341,"",16.906,> 99.500
ASAP-0012339,"",0.108,9.084
ASAP-0012337,"",0.037,2.570
ASAP-0012335,"",0.023,5.841
ASAP-0012333,"",0.059,7.698
ASAP-0012331,"",0.078,7.948
ASAP-0012326,"",10.148,(IC50 could not be calculated)
ASAP-0012314,"",> 99.500,> 99.500
ASAP-0012246,"",> 0.396,> 0.396
ASAP-0012230,"",> 0.396,> 0.396
ASAP-0012195,"",> 0.198,""
ASAP-0012168,"",0.292,> 0.396
ASAP-0012097,"",> 0.396,> 0.396
ASAP-0011947,"",> 0.396,> 0.396
ASAP-0011913,"",> 0.396,> 0.396
ASAP-0011892,"",> 0.396,> 0.396
ASAP-0011793,"",> 0.198,""
ASAP-0011716,"",> 0.198,""
ASAP-0011711,"",> 0.198,""
ASAP-0011676,"",0.145,""
ASAP-0011656,"",0.033,""
ASAP-0011630,"",> 0.198,""
ASAP-0011599,"",> 0.198,""
ASAP-0011575,"",> 0.198,""
ASAP-0011564,"",> 0.198,""
ASAP-0011533,"",13.842,(IC50 could not be calculated)
ASAP-0011532,"",0.556,32.995
ASAP-0011531,"",5.009,31.812
ASAP-0011529,"",0.112,18.972
ASAP-0011528,"",0.024,1.568
ASAP-0011527,"",79.883,> 99.500
ASAP-0011526,"",36.787,> 99.500
ASAP-0011519,"",61.296,> 99.500
ASAP-0011519,"",47.366,> 99.500
ASAP-0011518,"",14.468,> 99.500
ASAP-0011518,"",22.585,> 99.500
ASAP-0011517,"",0.630,(IC50 could not be calculated)
ASAP-0011517,"",0.900,(IC50 could not be calculated)
ASAP-0011516,"",7.062,> 99.500
ASAP-0011516,"",9.412,> 99.500
ASAP-0011515,"",18.808,> 99.500
ASAP-0011515,"",29.157,> 99.500
ASAP-0011514,"",> 99.500,> 99.500
ASAP-0011513,"",0.025,1.574
ASAP-0011512,"",82.647,> 99.500
ASAP-0011511,"",> 99.500,> 99.500
ASAP-0011510,"",> 99.500,> 99.500
ASAP-0011509,"",9.480,(IC50 could not be calculated)
ASAP-0011508,"",> 99.500,> 99.500
ASAP-0011507,"",77.823,> 99.500
ASAP-0011506,"",> 99.500,> 99.500
ASAP-0011505,"",9.702,> 99.500
ASAP-0011504,"",91.557,> 99.500
ASAP-0011503,"",21.278,> 99.500
ASAP-0011502,"",36.601,> 99.500
ASAP-0011501,"",8.219,> 99.500
ASAP-0011500,"",31.123,> 99.500
ASAP-0011499,"",32.326,> 99.500
ASAP-0011498,"",> 99.500,> 99.500
ASAP-0011497,"",> 99.500,> 99.500
ASAP-0011496,"",> 99.500,> 99.500
ASAP-0011495,"",22.364,> 99.500
ASAP-0011494,"",16.865,> 99.500
ASAP-0011493,"",12.068,(IC50 could not be calculated)
ASAP-0011492,"",8.979,> 99.500
ASAP-0011491,"",24.490,> 99.500
ASAP-0011490,"",70.273,> 99.500
ASAP-0011489,"",46.871,> 99.500
ASAP-0011488,"",> 99.500,> 99.500
ASAP-0011487,"",2.647,> 99.500
ASAP-0011486,"",> 99.500,> 99.500
ASAP-0011485,"",0.051,2.351
ASAP-0011484,"",31.117,> 99.500
ASAP-0011483,"",0.367,(IC50 could not be calculated)
ASAP-0011482,"",4.622,> 99.500
ASAP-0011481,"",17.939,> 99.500
ASAP-0011480,"",7.924,(IC50 could not be calculated)
ASAP-0011479,"",35.793,(IC50 could not be calculated)
ASAP-0011478,"",38.313,> 99.500
ASAP-0011477,"",27.580,(IC50 could not be calculated)
ASAP-0011476,"",98.087,> 99.500
ASAP-0011475,"",14.354,> 99.500
ASAP-0011474,"",21.267,(IC50 could not be calculated)
ASAP-0011473,"",9.858,> 99.500
ASAP-0011472,"",22.491,> 99.500
ASAP-0011471,"",11.268,> 99.500
ASAP-0011470,"",14.189,(IC50 could not be calculated)
ASAP-0011469,"",18.230,(IC50 could not be calculated)
ASAP-0011468,"",16.507,> 99.500
ASAP-0011467,"",28.407,(IC50 could not be calculated)
ASAP-0011466,"",22.453,> 99.500
ASAP-0011465,"",33.553,> 99.500
ASAP-0011464,"",41.952,> 99.500
ASAP-0011463,"",20.197,> 99.500
ASAP-0011462,"",> 99.500,> 99.500
ASAP-0011460,"",29.412,> 99.500
ASAP-0011458,"",13.870,(IC50 could not be calculated)
ASAP-0011456,"",8.959,(IC50 could not be calculated)
ASAP-0011454,"",55.495,> 99.500
ASAP-0011451,"",16.679,> 99.500
ASAP-0011449,"",3.297,> 99.500
ASAP-0011445,"",0.029,1.301
ASAP-0011443,"",11.598,(IC50 could not be calculated)
ASAP-0011438,"",59.802,> 99.500
ASAP-0011434,"",1.694,> 99.500
ASAP-0011430,"",0.039,13.770
ASAP-0011415,"",4.237,(IC50 could not be calculated)
ASAP-0011414,"",1.437,> 99.500
ASAP-0011412,"",29.331,> 99.500
ASAP-0011410,"",> 99.500,> 99.500
ASAP-0011408,"",0.693,(IC50 could not be calculated)
ASAP-0011405,"",47.229,> 99.500
ASAP-0011404,"",50.902,> 99.500
ASAP-0011402,"",67.859,> 99.500
ASAP-0011400,"",97.492,> 99.500
ASAP-0011398,"",57.786,> 99.500
ASAP-0011396,"",> 99.500,> 99.500
ASAP-0011394,"",> 99.500,> 99.500
ASAP-0011391,"",> 99.500,> 99.500
ASAP-0011390,"",64.989,> 99.500
ASAP-0011388,"",> 99.500,> 99.500
ASAP-0011385,"",80.079,> 99.500
ASAP-0011384,"",> 99.500,> 99.500
ASAP-0011382,"",48.367,> 99.500
ASAP-0011379,"",12.151,(IC50 could not be calculated)
ASAP-0011378,"",> 99.500,> 99.500
ASAP-0011376,"",> 99.500,> 99.500
ASAP-0011373,"",> 99.500,> 99.500
ASAP-0011371,"",> 32.340,> 99.500
ASAP-0011370,"",> 99.500,> 99.500
ASAP-0011368,"",0.093,9.793
ASAP-0011366,"",> 99.500,> 99.500
ASAP-0011364,"",16.886,> 99.500
ASAP-0011362,"",24.461,> 99.500
ASAP-0011359,"",0.031,2.213
ASAP-0011359,"",0.027,""
ASAP-0011358,"",0.535,(IC50 could not be calculated)
ASAP-0011358,"",0.534,""
ASAP-0011356,"",> 99.500,> 99.500
ASAP-0011356,"",(IC50 could not be calculated),""
ASAP-0011353,"",> 99.500,> 99.500
ASAP-0011353,"",(IC50 could not be calculated),""
ASAP-0011351,"",> 99.500,> 99.500
ASAP-0011351,"",> 99.500,""
ASAP-0011349,"",0.235,(IC50 could not be calculated)
ASAP-0011349,"",0.170,""
ASAP-0011347,"",0.179,10.013
ASAP-0011347,"",0.172,""
ASAP-0011346,"",0.469,> 99.500
ASAP-0011346,"",0.481,""
ASAP-0011343,"",0.041,2.498
ASAP-0011343,"",0.033,""
ASAP-0011342,"",> 99.500,> 99.500
ASAP-0011342,"",> 99.500,""
ASAP-0011340,"",33.118,> 99.500
ASAP-0011340,"",88.949,""
ASAP-0011338,"",0.364,(IC50 could not be calculated)
ASAP-0011338,"",0.256,""
ASAP-0011336,"",13.723,> 99.500
ASAP-0011336,"",8.539,""
ASAP-0011334,"",10.797,> 99.500
ASAP-0011332,"",15.350,> 99.500
ASAP-0011329,"",87.121,> 99.500
ASAP-0011328,"",> 99.500,> 99.500
ASAP-0011325,"",39.795,> 99.500
ASAP-0011324,"",1.023,(IC50 could not be calculated)
ASAP-0011322,"",86.956,> 99.500
ASAP-0011320,"",9.207,> 99.500
ASAP-0011318,"",11.445,> 99.500
ASAP-0011315,"",> 99.500,> 99.500
ASAP-0011314,"",17.481,(IC50 could not be calculated)
ASAP-0011312,"",10.417,> 99.500
ASAP-0011309,"",95.060,> 99.500
ASAP-0011308,"",23.308,> 99.500
ASAP-0011306,"",28.385,> 99.500
ASAP-0011304,"",87.683,> 99.500
ASAP-0011302,"",> 99.500,> 99.500
ASAP-0011300,"",17.371,> 99.500
ASAP-0011298,"",76.787,> 99.500
ASAP-0011296,"",53.358,> 99.500
ASAP-0011294,"",3.704,> 99.500
ASAP-0011292,"",10.255,> 99.500
ASAP-0011290,"",2.578,(IC50 could not be calculated)
ASAP-0011288,"",6.770,> 99.500
ASAP-0011285,"",7.815,(IC50 could not be calculated)
ASAP-0011283,"",55.472,> 99.500
ASAP-0011282,"",> 99.500,> 99.500
ASAP-0011280,"",14.554,> 99.500
ASAP-0011278,"",> 99.500,> 99.500
ASAP-0011276,"",63.227,> 99.500
ASAP-0011273,"",> 99.500,> 99.500
ASAP-0011272,"",28.553,> 99.500
ASAP-0011269,"",27.513,> 99.500
ASAP-0011268,"",9.260,> 99.500
ASAP-0011266,"",> 99.500,> 99.500
ASAP-0011263,"",> 99.500,> 99.500
ASAP-0011262,"",47.976,(IC50 could not be calculated)
ASAP-0011260,"",10.475,> 99.500
ASAP-0011258,"",32.256,> 99.500
ASAP-0011255,"",> 99.500,> 99.500
ASAP-0011254,"",13.082,(IC50 could not be calculated)
ASAP-0011250,"",> 99.500,> 99.500
ASAP-0011246,"",28.190,(IC50 could not be calculated)
ASAP-0011245,"",44.098,> 99.500
ASAP-0011241,"",15.451,> 99.500
ASAP-0011239,"",> 99.500,> 99.500
ASAP-0011235,"",5.395,(IC50 could not be calculated)
ASAP-0011233,"",0.224,(IC50 could not be calculated)
ASAP-0011232,"",1.854,> 99.500
ASAP-0011231,"",46.099,> 99.500
ASAP-0011230,"",10.120,> 99.500
ASAP-0011229,"",> 99.500,> 99.500
ASAP-0011228,"",4.513,> 99.500
ASAP-0011227,"",75.337,> 99.500
ASAP-0011226,"",18.195,> 99.500
ASAP-0011225,"",5.473,> 99.500
ASAP-0011224,"",31.589,> 99.500
ASAP-0011223,"",5.820,> 99.500
ASAP-0011222,"",27.589,> 99.500
ASAP-0011220,"",66.133,> 99.500
ASAP-0011218,"",28.244,> 99.500
ASAP-0011216,"",56.023,> 99.500
ASAP-0011214,"",19.717,> 99.500
ASAP-0011212,"",3.699,> 99.500
ASAP-0011209,"",> 99.500,> 99.500
ASAP-0011206,"",> 99.500,> 99.500
ASAP-0011202,"",1.213,9.624
ASAP-0011200,"",0.925,9.012
ASAP-0011195,"",0.637,> 99.500
ASAP-0011194,"",7.117,(IC50 could not be calculated)
ASAP-0011191,"",15.194,> 99.500
ASAP-0011187,"",37.455,> 99.500
ASAP-0011185,"",0.081,(IC50 could not be calculated)
ASAP-0011181,"",0.292,(IC50 could not be calculated)
ASAP-0011179,"",32.407,> 99.500
ASAP-0011175,"",0.520,(IC50 could not be calculated)
ASAP-0011173,"",1.441,(IC50 could not be calculated)
ASAP-0011168,"",0.498,(IC50 could not be calculated)
ASAP-0011165,"",0.110,(IC50 could not be calculated)
ASAP-0011164,"",1.620,(IC50 could not be calculated)
ASAP-0011160,"",18.336,> 99.500
ASAP-0011157,"",27.764,> 99.500
ASAP-0011155,"",2.152,> 99.500
ASAP-0011151,"",79.487,> 99.500
ASAP-0011148,"",31.100,(IC50 could not be calculated)
ASAP-0011145,"",> 99.500,> 99.500
ASAP-0011143,"",0.443,(IC50 could not be calculated)
ASAP-0011143,"","",9.567
ASAP-0011142,"",> 99.500,> 99.500
ASAP-0011142,"","",(IC50 could not be calculated)
ASAP-0011141,"",0.059,2.598
ASAP-0011141,"","",2.527
ASAP-0011140,"",0.295,(IC50 could not be calculated)
ASAP-0011140,"","",14.011
ASAP-0011139,"",0.170,(IC50 could not be calculated)
ASAP-0011139,"","",16.702
ASAP-0011138,"",0.077,7.726
ASAP-0011138,"","",4.743
ASAP-0011137,"",0.007,1.006
ASAP-0011137,"","",0.836
ASAP-0011135,"",5.557,> 99.500
ASAP-0011135,"","",(IC50 could not be calculated)
ASAP-0011133,"",0.642,(IC50 could not be calculated)
ASAP-0011133,"","",16.654
ASAP-0011131,"",16.860,> 99.500
ASAP-0011130,"",0.740,54.690
ASAP-0011129,"",0.009,1.854
ASAP-0011128,"",19.890,> 99.500
ASAP-0011127,"",0.007,7.559
