MERS-CoV-MPro_fluorescence-dose-response_weizmann: IC50 (µM),MERS-CoV-MPro_fluorescence-dose-response_weizmann: IC50 CI (Lower) (µM),MERS-CoV-MPro_fluorescence-dose-response_weizmann: IC50 CI (Upper) (µM),MERS-CoV-MPro_fluorescence-dose-response_weizmann: Curve class,MERS-CoV-MPro_fluorescence-dose-response_weizmann: Hill slope,MERS-CoV-MPro_fluorescence-dose-response_weizmann: pIC50,MERS-CoV-MPro_fluorescence-dose-response_weizmann: Minh_Protease_MERS_Mpro_pIC50 (calc) (uM),MERS-CoV-MPro_fluorescence-dose-response_weizmann: Minh_Protease_MERS_Mpro_pIC50 (calc) (uM) Standard Deviation (±),MERS-CoV-MPro_fluorescence-dose-response_weizmann: Minh_Protease_MERS_Mpro_pIC50 (calc) (uM) Count,Molecule Name,CXSMILES (CDD Compatible),Batch Created Date
> 99.500,,,,,< 4.0,4.3,,1.0,ASAP-0029752,CC1=NC2=CC=CC=C2N1C[C@H]1CCCN1C(=O)CC1=CN=CC2=CC=CC=C12 |&1:11|,2024-07-22
(IC50 could not be calculated),,,,,,4.84,,1.0,ASAP-0029873,"O=C(CC1=CN=CC2=CC=CC=C12)N1C[C@H]2CC[C@H]2[C@H]1C1=CC=CC=C1 |&1:15,18,19|",2024-07-22
(IC50 could not be calculated),,,,,,4.6,,1.0,ASAP-0029787,CN1C=C([C@H]2CCCN2C(=O)CC2=CN=CC3=CC=CC=C23)C2=CC=CC=C21 |&1:4|,2024-07-22
> 99.500,,,,,< 4.0,4.27,,1.0,ASAP-0029791,CN1CC2(CCN(C(=O)CC3=CN=CC4=CC=CC=C34)CC2)C2=CC=CC=C21,2024-07-22
> 99.500,,,,,< 4.0,4.22,,1.0,ASAP-0029887,CCN1C=CN=C1[C@H]1CCCCN1C(=O)CC1=CN=CC2=CC=CC=C12 |&1:7|,2024-07-22
(IC50 could not be calculated),,,,,,5.5,,1.0,ASAP-0029878,"COC1=CC=CC([C@H]2C[C@H](C)CN2C(=O)CC2=CN=CC3=CC=CC=C23)=C1 |&1:7,&2:9|",2024-07-22
> 99.500,,,,,< 4.0,4.88,,1.0,ASAP-0029930,COC1=CC=CC=C1OC[C@H]1CCCN1C(=O)CC1=CN=CC2=CC=CC=C12 |a:10|,2024-07-22
> 99.500,,,,,< 4.0,4.26,,1.0,ASAP-0029882,"C[C@H]1C[C@H](C)N(C(=O)CC2=CN=CC3=CC=CC=C23)C1 |&1:1,&2:3|",2024-07-22
(IC50 could not be calculated),,,,,,4.74,,1.0,ASAP-0029866,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](OC(F)(F)F)C1 |&1:16|,2024-07-22
8.025,0.006,11155.611,1.3,4.18,5.1,6.01,,1.0,ASAP-0029903,"CCC1=CC=C([C@H]2C[C@H](C)CCN2C(=O)CC2=CN=CC3=CC=CC=C23)O1 |&1:6,8|",2024-07-22
(IC50 could not be calculated),,,,,,5.18,,1.0,ASAP-0029591,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC(F)(F)CC1,2024-07-15
(IC50 could not be calculated),,,,,,5.22,,1.0,ASAP-0029550,"O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H]2CC[C@H]2C1 |&1:16,19|",2024-07-15
(IC50 could not be calculated),,,,,,4.57,,1.0,ASAP-0029551,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC2(CC1)C[C@H]2F |&1:20|,2024-07-15
> 99.500,,,,,< 4.0,4.99,,1.0,ASAP-0029558,"CO[C@H]1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)C[C@H]1C |&1:2,&2:20|",2024-07-15
> 99.500,,,,,< 4.0,4.12,,1.0,ASAP-0029565,CO[C@H](C)C1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)CC1 |&1:2|,2024-07-15
(IC50 could not be calculated),,,,,,5.34,,1.0,ASAP-0029579,"C[C@H]1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)C[C@H]1F |&1:1,19|",2024-07-15
> 99.500,,,,,< 4.0,4.07,,1.0,ASAP-0029573,"O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H]2COC[C@H]2C1 |&1:16,&2:20|",2024-07-15
(IC50 could not be calculated),,,,,,5.56,,1.0,ASAP-0029598,"C[C@H]1C[C@@H](C(F)(F)F)CCN1C(=O)CC1=CN=CC2=CC=CC=C12 |&1:1,3|",2024-07-15
> 99.500,,,,,< 4.0,4.01,,1.0,ASAP-0029602,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC(CC2CC2)CC1,2024-07-15
(IC50 could not be calculated),,,,,,4.65,,1.0,ASAP-0029609,"O=C(CC1=CN=CC2=CC=CC=C12)N1C[C@@H]2[C@H](C1)[C@H]2C(F)(F)F |a:15,16,18|",2024-07-15
(IC50 could not be calculated),,,,,,4.67,,1.0,ASAP-0029628,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC2(CCCC2)CC1,2024-07-15
(IC50 could not be calculated),,,,,,5.18,,1.0,ASAP-0029582,"C[C@H]1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)[C@@H](C(F)(F)F)C1 |&1:1,18|",2024-07-15
(IC50 could not be calculated),,,,,,5.4,,1.0,ASAP-0029600,CC1(F)CCN(C(=O)CC2=CN=CC3=CC=CC=C23)CC1,2024-07-15
(IC50 could not be calculated),,,,,,5.01,,1.0,ASAP-0029699,C[C@H]1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)CC1(F)F |&1:1|,2024-07-15
(IC50 could not be calculated),,,,,,5.35,,1.0,ASAP-0029674,"O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H]2CCC[C@H]2C1 |&1:16,20|",2024-07-15
(IC50 could not be calculated),,,,,,5.34,,1.0,ASAP-0029680,"C[C@H]1[C@@H]2CCN(C(=O)CC3=CN=CC4=CC=CC=C34)C[C@H]12 |&1:1,2,20|",2024-07-15
(IC50 could not be calculated),,,,,,4.81,,1.0,ASAP-0029697,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC(C2CC2)CC1,2024-07-15
(IC50 could not be calculated),,,,,,5.2,,1.0,ASAP-0029700,"C[C@H]1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)[C@@H](C)C1 |a:1,18|",2024-07-15
> 99.500,,,,,< 4.0,4.27,,1.0,ASAP-0029639,COC1CC2(CCN(C(=O)CC3=CN=CC4=CC=CC=C34)CC2)C1,2024-07-15
(IC50 could not be calculated),,,,,,4.66,,1.0,ASAP-0029710,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC2(CC1)CC2,2024-07-15
(IC50 could not be calculated),,,,,,4.62,,1.0,ASAP-0029712,"O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H]2C[C@H]2C1 |&1:16,&2:18|",2024-07-15
> 99.500,,,,,< 4.0,4.23,,1.0,ASAP-0029722,"O=C(COS(=O)(=O)NCC1=CC=CC=C1)N1CCN(CC2=CC=CC(Cl)=C2)[C@H]2CS(=O)(=O)C[C@@H]21 |&1:27,33|",2024-07-15
(IC50 could not be calculated),,,,,,4.85,,1.0,ASAP-0029731,"C[C@H]1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)C[C@H]1C |&1:1,&2:19|",2024-07-15
(IC50 could not be calculated),,,,,,5.14,,1.0,ASAP-0029653,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC2(CCC2)CC1,2024-07-15
(IC50 could not be calculated),,,,,,4.75,,1.0,ASAP-0029408,CC(C)[C@]1(C#N)CCN(C(=O)CC2=CN=CC3=CC=CC=C23)C1 |&1:3|,2024-07-08
> 99.500,,,,,< 4.0,4.23,,1.0,ASAP-0029460,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC2(C=CC3=CC=CC=C3O2)CC1,2024-07-08
> 99.500,,,,,< 4.0,4.4,,1.0,ASAP-0029400,"O=C(CC1=CN=CC2=CC=CC=C12)N1[C@H]2C=CC[C@H]1CCC2 |&1:14,&2:18|",2024-07-08
(IC50 could not be calculated),,,,,,4.53,,1.0,ASAP-0029448,"O=C(CC1=CN=CC2=CC=CC=C12)N1C[C@H]2CCCCCC[C@H]2C1 |&1:15,&2:22|",2024-07-08
0.139,0.000,1407603983636823775337624693809335956131292804073890675986084660943375772244951370349739050729724236133569173467798774739127684612420116482734277715826603367739179827720743527054820684438572448803546162462206550343049389767574815651135488.000,2.3,11.521,6.9,7.34,,1.0,ASAP-0029469,"CC1=NN=C(NC[C@H]2CN(C3=CN=CC4=CC=CC=C34)C(=O)[C@@]23CN(CC2=NNC=C2)C(=O)C2=CC=C(Cl)C=C23)S1 |a:7,22|",2024-07-08
(IC50 could not be calculated),,,,,,5.57,,1.0,ASAP-0029502,C[C@H]1CC(F)(F)CCN1C(=O)CC1=CN=CC2=CC=CC=C12 |&1:1|,2024-07-08
> 99.500,,,,,< 4.0,4.5,,1.0,ASAP-0029494,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC2=NOC=C2C1,2024-07-08
> 99.500,,,,,< 4.0,4.26,,1.0,ASAP-0029476,COC1=CC=CC(C[C@H]2CCCN2C(=O)CC2=CN=CC3=CC=CC=C23)=C1 |&1:8|,2024-07-08
(IC50 could not be calculated),,,,,,4.6,,1.0,ASAP-0029333,N#CC1(C2=CC=CC=C2)CCN(C(=O)CC2=CN=CC3=CC=CC=C23)CC1,2024-07-01
2.660,0.001,6098.711,1.3,7.78,5.6,6.22,,1.0,ASAP-0029303,"COC1=CC=CC=C1[C@@H]1C[C@H](C)CCN1C(=O)CC1=CN=CC2=CC=CC=C12 |&1:8,10|",2024-07-01
(IC50 could not be calculated),,,,,,5.64,,1.0,ASAP-0029363,"CC[C@H]1C[C@@H](C(F)(F)F)CCN1C(=O)CC1=CN=CC2=CC=CC=C12 |&1:2,4|",2024-07-01
(IC50 could not be calculated),,,,,,5.17,,1.0,ASAP-0029343,"O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H]2CCC(F)(F)C[C@H]2C1 |&1:16,&2:23|",2024-07-01
33.612,(IC50 CI (Lower) could not be calculated; singular matrix exception),(IC50 CI (Upper) could not be calculated; singular matrix exception),2.1,23.099,4.5,4.35,,1.0,ASAP-0029049,C=CC[C@H](NC1=CC=C2CNCC2=C1)C1=CC(Cl)=CC2=C1C=NN2 |&1:3|,2024-06-17
1.706,0.968,3.010,1.3,2.449,5.8,6.05,,1.0,ASAP-0029037,C=CC(=O)N1C[C@H](C(N)=O)CC2=CC=C(N(CC3=CC=CC(Cl)=C3)C(=O)CC3=CN=CC4=CC=CC=C34)C=C21 |&1:6|,2024-06-17
> 99.500,,,,,< 4.0,4.87,,1.0,ASAP-0028977,C=CC[C@H](NC1=CC=CC(Cl)=C1)C1=CC=CC(C2=NNN=N2)=C1 |&1:3|,2024-06-10
> 99.500,,,4.0,1.202,< 4.0,4.52,,1.0,ASAP-0028930,"CC(C)NS(=O)(=O)OCC(=O)N1CCN(CC2=CC=CC(Cl)=C2)[C@H]2CS(=O)(=O)C[C@@H]21 |&1:23,29|",2024-06-03
0.968,0.150,6.236,1.3,3.121,6.0,6.58,,1.0,ASAP-0028932,"O=C1C2=CC=C(Cl)C=C2[C@@]2(CN1CC1CNC1)C(=O)N(C1=CN=CC3=CC=CC=C13)C[C@@H]2CNC1=NN=CS1 |a:9,31|",2024-06-03
> 99.500,,,2.1,0.687,< 4.0,4.55,,1.0,ASAP-0028934,C=CC(=O)N1CCCCC2=CC=C(N(CC3=CC=C(Cl)C=C3)C(=O)CC3=CN=CC4=CC=CC=C34)C=C21,2024-06-03
> 99.500,,,,,< 4.0,5.71,,1.0,ASAP-0028927,C=CC(=O)N1C[C@H](CO)CC2=CC=C(N(CC3=CC=CC(Cl)=C3)C(=O)CC3=CN=CC4=CC=CC=C34)C=C21 |&1:6|,2024-06-03
1.922,1.103,3.347,1.3,2.547,5.7,6.0,,1.0,ASAP-0028899,"CC(C)CNS(=O)(=O)OCC(=O)N1CCN(CC2=CC=CC(Cl)=C2)[C@H]2CS(=O)(=O)C[C@@H]21 |&1:24,30|",2024-06-03
> 99.500,,,,,< 4.0,2.74,,1.0,ASAP-0028857,"CCNS(=O)(=O)OCC(=O)N1CCN(CC2=CC=CC(Cl)=C2)[C@H]2CS(=O)(=O)C[C@@H]21 |&1:22,28|",2024-05-27
> 99.500,,,,,< 4.0,4.25,,1.0,ASAP-0028869,"CNS(=O)(=O)OCC(=O)N1CCN(CC2=CC=CC(Cl)=C2)[C@H]2CS(=O)(=O)C[C@@H]21 |&1:21,27|",2024-05-27
> 99.500,,,,,< 4.0,4.39,,1.0,ASAP-0028005,C=CC[C@H](NC1=CC=CC(C(=O)O)=C1)C1=CC(Cl)=CC2=C1C=NN2 |&1:3|,2024-05-20
> 99.500,,,,,< 4.0,4.43,,1.0,ASAP-0027971,C=CC[C@H](NC1=CC(Cl)=CC(NC(=O)OCC2=CC=CC=C2)=C1)C1=CC=CC(CN)=C1 |&1:3|,2024-05-20
> 99.500,,,2.3,0.764,< 4.0,4.65,,1.0,ASAP-0027832,C=CC[C@H](NC1=CC=CC(C2=NNN=N2)=C1)C1=CC(Cl)=CC2=C1C=NN2 |&1:3|,2024-05-13
27.632,23.967,31.857,2.1,1.226,4.6,4.54,,1.0,ASAP-0027823,C=CC[C@H](NC1=CC=CC(C2=NNN=N2)=C1)C1=CC(Cl)=CC(NC(=O)OCC2=CC=CC=C2)=C1 |&1:3|,2024-05-13
3.055,1.487,6.277,1.3,2.474,5.5,5.8,,1.0,ASAP-0022458,C=CC(=O)N1CCCC2=CC=C(N(CC3=CC=CC(C(F)(F)F)=C3)C(=O)CC3=CN=CC4=CC=CC=C34)C=C21,2024-03-19
> 99.500,,,,,< 4.0,5.03,,1.0,ASAP-0022457,C=CC(=O)N1CCCC2=CC=C(N(CC3=CC=CC(C4=CC=CC=C4)=C3)C(=O)CC3=CN=CC4=CC=CC=C34)C=C21,2024-03-19
5.655,1.147,27.892,1.3,2.878,5.2,5.79,,1.0,ASAP-0022459,C=CC(=O)N1CCCC2=CC=C(N(C(=O)CC3=CN=CC4=CC=CC=C34)N(C)C3=CC=CC(Cl)=C3)C=C21,2024-03-19
1.507,0.838,2.712,1.3,2.39,5.8,6.14,,1.0,ASAP-0022456,C=CC(=O)N1CCCC2=CC=C(N(CC3=CC=CC(Cl)=C3)C(=O)CC3=CN=CC4=C(F)C=CC=C34)C=C21,2024-03-19
1.068,0.530,2.155,1.3,2.437,6.0,6.35,,1.0,ASAP-0021181,C=CC(=O)N1CCCC2=CC=C(N(CC3=CC=CC(Br)=C3)C(=O)CC3=CN=CC4=CC=CC=C34)C=C21,2024-03-04
2.293,0.508,10.353,1.3,4.153,5.6,6.34,,1.0,ASAP-0021173,C=CC(=O)N1CCC2=CC=C(N(CC3=CC=CC(Cl)=C3)C(=O)CC3=CN=CC4=CC=CC=C34)C=C21,2024-03-04
(IC50 could not be calculated),,,,,,4.16,,1.0,ASAP-0021103,"C[C@H](OC(C)(C)C)[C@@H](NC(=O)OCC1=CC=CC(OCCCCCCOC2=CC=CC3=C2C(=O)N([C@H]2CCC(=O)NC2=O)C3=O)=C1)C(=O)N[C@H](CC1CCCCC1)C(=O)N[C@H](C=O)C[C@@H]1CCNC1=O |a:1,7,49,60,64,&1:35|",2024-03-04
> 99.500,,,3.0,2.178,< 4.0,4.27,,1.0,ASAP-0021055,C=CC(=O)N1CCCC2=C1C=CC=C2N(CC1=CC=CC([C@H]2CCCN2)=C1)C(=O)CC1=CN=CC2=CC=CC=C12 |&1:21|,2024-02-26
1.578,0.802,3.107,1.3,2.415,5.8,6.39,,1.0,ASAP-0017447,"CNCCN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2COCC2CS(=O)(=O)C2)C2=CC(Cl)=CC=C2C1=O |a:6,21|",2024-02-05
0.641,0.339,1.213,1.3,2.019,6.2,6.75,,1.0,ASAP-0017450,"CNCCN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2CNC2=NC=NC=N2)C2=CC(Cl)=CC=C2C1=O |a:6,21|",2024-02-05
8.762,1.066,72.011,1.3,4.254,5.1,5.58,,1.0,ASAP-0017451,"CNCCN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2COCC2COC2)C2=CC(Cl)=CC=C2C1=O |a:6,21|",2024-02-05
0.129,0.000,253421.641,2.3,9.176,6.9,7.25,,1.0,ASAP-0000370,CC(C)(C)[C@H](NC(=O)C(F)(F)F)C(=O)N1C[C@H]2[C@@H]([C@H]1C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O)C2(C)C,2024-01-30
> 99.500,,,,,< 4.0,4.8,,1.0,ASAP-0017433,C=CC(=O)N1CCCC2=C1C=CC=C2N(CC1=CC=CC(N2CC3(CCC3)C2)=C1)C(=O)CC1=CN=CC2=CC=CC=C12,2024-01-29
7.468,5.845,9.543,1.1,1.203,5.1,5.41,,1.0,ASAP-0017428,C=CC(=O)N1CCCC2=C1C=CC=C2N(CC1=CC=CC(C2=CC=CN2)=C1)C(=O)CC1=CN=CC2=CC=CC=C12,2024-01-29
> 99.500,,,4.0,1.057,< 4.0,4.18,,1.0,ASAP-0017420,"CC#CC(=O)N1CCN(CC2=CC=CC(Cl)=C2)[C@H]2CS(=O)(=O)C[C@H]21 |&1:17,&2:23|",2024-01-29
35.564,31.404,40.275,2.1,1.224,4.4,4.59,,1.0,ASAP-0017393,"C=C(C(=O)NC1=CC=CC=C1)[C@H]1C[C@]2(CN(CC(=O)NC)C(=O)C3=CC=C(Cl)C=C32)C(=O)N1C1=CN=CC2=CC=CC=C12 |&1:11,&2:13|",2024-01-29
1.932,0.217,17.226,2.3,2.953,5.7,6.46,,1.0,ASAP-0000572,CN1C=NC(CN2C(=O)N/C(=N\C3=CC4=CN(C)N=C4C=C3Cl)N(CC3=CC(F)=C(F)C=C3F)C2=O)=N1,2024-01-18
11.796,9.814,14.178,1.1,2.164,4.9,5.01,,1.0,ASAP-0017148,C=CC(=O)N1CCCC2=C1C=CC=C2N(C(=O)CC1=CN=CC2=CC=CC=C12)C1(C2=CC=CC(Cl)=C2)COC1,2024-01-15
> 99.500,,,,,< 4.0,8.56,,1.0,ASAP-0016748,"N#CN1CCN(CC2=CC=CC(Cl)=C2)[C@H]2CS(=O)(=O)C[C@H]21 |&1:14,&2:20|",2024-01-02
> 99.500,,,,,< 4.0,4.25,,1.0,ASAP-0016548,"O=C(N1CCN(CC2=CC=CC(Cl)=C2)[C@H]2CS(=O)(=O)C[C@H]21)C12CC1C2 |&1:14,&2:20|",2023-12-19
7.881,0.937,66.311,1.3,3.275,5.1,5.69,,1.0,ASAP-0016547,CCC(=O)N1CCCC2=C1C=CC=C2N(CC1=CC=CC(Cl)=C1)C(=O)CC1=CN=CC2=CC=CC=C12,2023-12-19
10.258,1.968,53.481,1.3,5.043,5.0,5.63,,1.0,ASAP-0016546,"CNCCN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2COCC2(F)COC2)C2=CC(Cl)=CC=C2C1=O |a:6,21|",2023-12-19
68.716,63.445,74.425,2.1,0.651,4.2,4.6,,1.0,ASAP-0016438,"C#CC(=O)N1CCN(CC2=CC=CC(Cl)=C2)[C@H]2CS(=O)(=O)C[C@H]21 |&1:16,&2:22|",2023-12-12
> 99.500,,,,,< 4.0,1.43,,1.0,ASAP-0016439,"C=CC(=O)N1CCN(CC2=CC=CC(Cl)=C2)[C@H]2CS(=O)(=O)C[C@H]21 |&1:16,&2:22|",2023-12-12
91.232,73.038,113.958,2.3,1.498,4.0,4.45,,1.0,ASAP-0016440,C=CC(=O)N1CCCC2=C1C=CC=C2N(CC1=CC=CC(C(=O)NC)=C1)C(=O)CC1=CN=CC2=CC=CC=C12,2023-12-12
2.533,(IC50 CI (Lower) could not be calculated; singular matrix exception),(IC50 CI (Upper) could not be calculated; singular matrix exception),1.3,20.704,5.6,6.16,,1.0,ASAP-0016511,"C[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@@]12CN(C1CNC1)C(=O)C1=CC=C(Cl)C=C12 |a:1,16|",2023-12-12
(IC50 could not be calculated),,,,,,5.64,,1.0,ASAP-0016433,"CNCCN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2COCC2(F)CC2)C2=CC(Cl)=CC=C2C1=O |a:6,21|",2023-12-05
1.252,0.446,3.515,1.3,2.698,5.9,6.4,,1.0,ASAP-0016110,"C[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@@]12CN(CCN1CCOC(F)(F)C1)C(=O)C1=CC=C(Cl)C=C12 |a:1,16|",2023-11-27
> 99.500,,,,,< 4.0,3.56,,1.0,ASAP-0016104,"C=C(C(=O)O)[C@H]1C[C@]2(CN(CC(=O)OC(C)(C)C)C(=O)C3=CC=C(Cl)C=C32)C(=O)N1C1=CN=CC2=CC=CC=C12 |&1:5,&2:7|",2023-11-27
1.086,0.327,3.612,1.3,2.481,6.0,6.58,,1.0,ASAP-0016106,"C[C@H]1COC[C@H](C)N1CCN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2C)C2=CC(Cl)=CC=C2C1=O |a:1,5,12,27|",2023-11-27
1.134,0.367,3.500,1.3,2.3,5.9,6.63,,1.0,ASAP-0015916,"O=C1C2=CC=C(Cl)C=C2[C@@]2(CN1CC1=NN=CO1)C(=O)N(C1=CN=CC3=CC=CC=C13)C[C@@H]2CNC1=CC=NC=N1 |a:9,32|",2023-11-20
1.975,0.306,12.728,1.3,2.885,5.7,6.5,,1.0,ASAP-0015385,"C[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@@]12CN(CCN1C[C@@H]3C[C@H]1CO3)C(=O)C1=CC=C(Cl)C=C12 |a:1,16,23,25|",2023-10-23
9.897,1.320,74.219,1.3,6.391,5.0,5.77,,1.0,ASAP-0015380,"CNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2CF)C2=CC(Cl)=CC=C2C1=O |a:7,22|",2023-10-23
2.459,0.682,8.865,1.3,3.175,5.6,6.36,,1.0,ASAP-0015235,"C[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@@]12CN(CCN(C)C)C(=O)C1=CC=C(Cl)C=C12 |a:1,16|",2023-10-09
1.128,0.460,2.767,1.3,2.477,5.9,6.43,,1.0,ASAP-0015114,"O=C1C2=CC=C(Cl)C=C2[C@@]2(CN1CCN1CC3(COC3)C1)C(=O)N(C1=CN=CC3=CC=CC=C13)C[C@@H]2CNC1=NC=CC=N1 |a:9,35|",2023-10-02
2.573,1.221,5.421,1.3,3.521,5.6,5.99,,1.0,ASAP-0014938,"COC[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@@]12CN(CC1=CNN=C1)C(=O)C1=CC=C(Cl)C=C12 |a:3,18|",2023-09-25
(IC50 could not be calculated),,,,,,4.24,,1.0,ASAP-0014946,"C=C(C(=O)OC)[C@H]1C[C@]2(CN(CC(=O)OC(C)(C)C)C(=O)C3=CC=C(Cl)C=C32)C(=O)N1C1=CN=CC2=CC=CC=C12 |&1:6,&2:8|",2023-09-25
0.284,0.207,0.389,1.1,1.533,6.5,6.76,,1.0,ASAP-0014887,"CNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2CNC2=CC=NC(C)=N2)C2=CC(Cl)=CC=C2C1=O |a:7,22|",2023-09-18
(IC50 could not be calculated),,,,,,4.41,,1.0,ASAP-0014740,C=C(CN(C(=O)[C@H]1CN(CC(=O)NC)C(=O)C2=CC=C(Cl)C=C21)C1=CN=CC2=CC=CC=C12)C(=O)NC1=CC=C(N2C=CC=N2)C=C1 |&1:6|,2023-09-11
15.461,2.258,105.859,1.3,2.46,4.8,5.41,,1.0,ASAP-0014646,"CNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2CNC2=CNN=C2)C2=CC(Cl)=CC=C2C1=O |a:7,22|",2023-09-05
(IC50 could not be calculated),,,,,,4.59,,1.0,ASAP-0014654,C=CC(=O)NC1=CC=CC(N(CC2=CC=CC(C3=CNC=C3)=C2)C(=O)CC2=CN=CC3=CC=CC=C23)=C1,2023-09-05
92.610,0.000,279830555975269600.000,3.0,9.174,4.0,4.42,,1.0,ASAP-0014649,C=C(CN(C(=O)[C@H]1CN(CC(=O)NC)C(=O)C2=CC=C(Cl)C=C21)C1=CN=CC2=CC=CC=C12)C(=O)NCC1=CC=C(OC)C=C1Cl |&1:6|,2023-09-05
5.403,0.207,141.011,1.3,2.164,5.3,6.3,,1.0,ASAP-0014608,"CNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2CNC2=CC=NN2)C2=CC(Cl)=CC=C2C1=O |a:7,22|",2023-08-29
(IC50 could not be calculated),,,,,,6.3,,1.0,ASAP-0014618,"CC1=NC(CN2C[C@@]3(C(=O)N(C4=CN=CC5=CC=CC=C45)C[C@@H]3C)C3=CC(F)=CC=C3C2=O)=CN1 |a:7,22|",2023-08-29
> 49.750,,,,,< 4.3,4.25,,1.0,ASAP-0013743,C=C(CN(C(=O)[C@H]1CN(CC(=O)NC)CC2=CC=C(Cl)C=C21)C1=CN=CC2=CC=CC=C12)C(=O)NCC1=CC=C(OC)C=C1Cl |&1:6|,2023-08-24
21.939,2.113,227.759,2.3,2.693,4.7,5.44,,1.0,ASAP-0014553,"C[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@@]12CN(CC1=NC=CC=N1)C(=O)C1=CC=C(F)C=C12 |a:1,16|",2023-08-21
8.118,0.008,8095.095,1.3,4.477,5.1,5.94,,1.0,ASAP-0014582,"O=C1C2=CC=C(Cl)C=C2[C@@]2(CN1CCNCC(F)(F)F)C(=O)N(C1=CN=CC3=CC=CC=C13)C[C@@H]2CNC1=NC=CC=N1 |a:9,34|",2023-08-21
(IC50 could not be calculated),,,,,,4.56,,1.0,ASAP-0014554,"C[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@@]12CN(CC1=NN=NN1)C(=O)C1=CC=C(F)C=C12 |a:1,16|",2023-08-21
> 99.500,,,,,< 4.0,9.0,,1.0,ASAP-0014213,CNC(=O)C1(N2C[C@@]3(CCN(C4=CN=CC5=CC=CC=C45)C3=O)C3=CC(Cl)=CC=C3C2=O)CC1 |a:7|,2023-08-15
7.832,0.813,75.477,1.3,3.66,5.1,5.78,,1.0,ASAP-0014212,CNC(=O)C1(N2C[C@]3(CCN(C4=CN=CC5=CC=CC=C45)C3=O)C3=CC(Cl)=CC=C3C2=O)CC1 |a:7|,2023-08-15
(IC50 could not be calculated),,,,,,5.27,,1.0,ASAP-0013834,"CNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2COC(C)C)C2=CC(F)=CC=C2C1=O |a:7,22|",2023-08-08
17.396,1.745,173.434,2.3,2.384,4.8,5.55,,1.0,ASAP-0013832,"CNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2COC(C)C)C2=CC(Cl)=CC=C2C1=O |a:7,22|",2023-08-08
(IC50 could not be calculated),,,,,,4.81,,1.0,ASAP-0013836,C=C(CN(C(=O)[C@H]1CN(CC(=O)NC)CC2=CC=C(Cl)C=C21)C1=CN=CC2=CC=CC=C12)C(=O)NC1=CC=C(N2C=CC=N2)C=C1 |&1:6|,2023-08-08
