SARS-CoV-2-MPro_fluorescence-dose-response_weizmann: IC50 (µM),SARS-CoV-2-MPro_fluorescence-dose-response_weizmann: IC50 CI (Lower) (µM),SARS-CoV-2-MPro_fluorescence-dose-response_weizmann: IC50 CI (Upper) (µM),SARS-CoV-2-MPro_fluorescence-dose-response_weizmann: Hill slope,SARS-CoV-2-MPro_fluorescence-dose-response_weizmann: pIC50 (log10M),Molecule Name,CXSMILES (CDD Compatible),Batch Created Date
26.935,22.523,32.21,1.54,4.57,ASAP-0029765,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H](C2=CNC3=CC=CC=C23)C1 |&1:17|,2024-07-22
15.190,13.494,17.099,1.183,4.82,ASAP-0029793,"O=C(CC1=CN=CC2=CC=CC=C12)N1[C@H]2CCC[C@H]1C1=C(C2)NN=C1 |&1:14,&2:18|",2024-07-22
0.531,0.483,0.584,1.211,6.27,ASAP-0029903,"CCC1=CC=C([C@H]2C[C@H](C)CCN2C(=O)CC2=CN=CC3=CC=CC=C23)O1 |&1:6,8|",2024-07-22
16.249,14.374,18.368,1.178,4.79,ASAP-0029819,"COC1=CC=CC([C@H](C)[C@H]2CCN(C(=O)CC3=CN=CC4=CC=CC=C34)C2)=C1 |&1:7,&2:9|",2024-07-22
0.044,0.042,0.045,1.126,7.36,ASAP-0029849,"CC1=NC=CC(CN2C[C@@]3(C(=O)N(C4=CN=CC5=CC=CC=C45)C[C@@H]3CNC3=NN=C(C(F)(F)F)S3)C3=CC(Cl)=CC=C3C2=O)=N1 |a:9,24|",2024-07-22
13.389,11.834,15.15,1.15,4.87,ASAP-0029907,COC1=CC=CC([C@]2(F)CCN(C(=O)CC3=CN=CC4=CC=CC=C34)C2)=C1 |&1:7|,2024-07-22
60.108,54.386,66.432,1.241,4.22,ASAP-0029897,"CS(=O)(=O)C[C@@H]1C[C@@H]2CCC[C@@H]2N1C(=O)CC1=CN=CC2=CC=CC=C12 |a:5,7,11|",2024-07-22
85.208,76.583,94.805,1.25,4.07,ASAP-0029906,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC(NC2=CC=CC3=NC=CC=C23)CC1,2024-07-22
53.420,45.679,62.474,1.119,4.27,ASAP-0029846,"O=C1C[C@H]2COC[C@H](C1)N2C(=O)CC1=CN=CC2=CC=CC=C12 |&1:3,&2:7|",2024-07-22
8.384,8.107,8.67,1.079,5.08,ASAP-0029742,COC(C)(C)C1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)CC1,2024-07-15
54.285,49.557,59.465,1.178,4.27,ASAP-0029734,"CO[C@@H]1C[C@@H]2C[C@H]1CN2C(=O)CC1=CN=CC2=CC=CC=C12 |&1:2,4,6|",2024-07-15
13.072,12.23,13.971,1.179,4.88,ASAP-0029701,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC2(CC1)COCCO2,2024-07-15
2.924,2.76,3.097,1.155,5.53,ASAP-0029731,"C[C@H]1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)C[C@H]1C |&1:1,&2:19|",2024-07-15
27.963,26.476,29.534,1.18,4.55,ASAP-0029712,"O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H]2C[C@H]2C1 |&1:16,&2:18|",2024-07-15
53.405,49.544,57.566,1.203,4.27,ASAP-0029727,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC2(CC1)COC2,2024-07-15
17.470,16.427,18.579,1.127,4.76,ASAP-0029716,COC1(C)CCN(C(=O)CC2=CN=CC3=CC=CC=C23)CC1,2024-07-15
7.012,6.472,7.596,1.155,5.15,ASAP-0029710,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC2(CC1)CC2,2024-07-15
28.069,26.192,30.081,1.157,4.55,ASAP-0029708,"CO[C@H]1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)[C@@H](C)C1 |&1:2,19|",2024-07-15
3.229,3.062,3.405,1.14,5.49,ASAP-0029700,"C[C@H]1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)[C@@H](C)C1 |a:1,18|",2024-07-15
11.856,11.097,12.668,1.572,4.93,ASAP-0029722,"O=C(COS(=O)(=O)NCC1=CC=CC=C1)N1CCN(CC2=CC=CC(Cl)=C2)[C@H]2CS(=O)(=O)C[C@@H]21 |&1:27,33|",2024-07-15
2.609,2.053,3.315,1.232,5.58,ASAP-0029680,"C[C@H]1[C@@H]2CCN(C(=O)CC3=CN=CC4=CC=CC=C34)C[C@H]12 |&1:1,2,20|",2024-07-15
3.978,3.724,4.251,1.17,5.4,ASAP-0029699,C[C@H]1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)CC1(F)F |&1:1|,2024-07-15
86.906,81.955,92.157,1.225,4.06,ASAP-0029663,"O=C1NC[C@H]2CN(C(=O)CC3=CN=CC4=CC=CC=C34)CC[C@@H]12 |&1:4,22|",2024-07-15
68.477,63.785,73.514,1.192,4.16,ASAP-0029664,O=C1CC2(CCN(C(=O)CC3=CN=CC4=CC=CC=C34)CC2)CN1,2024-07-15
40.283,36.88,44.0,1.149,4.39,ASAP-0029665,"CC(C)O[C@H]1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)[C@@H](C)C1 |&1:4,21|",2024-07-15
51.436,48.212,54.876,1.201,4.29,ASAP-0029671,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC(OC2CC2)CC1,2024-07-15
2.126,2.022,2.236,1.106,5.67,ASAP-0029674,"O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H]2CCC[C@H]2C1 |&1:16,20|",2024-07-15
5.747,5.339,6.186,1.112,5.24,ASAP-0029673,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC2(CCCCO2)CC1,2024-07-15
1.400,1.324,1.48,1.146,5.85,ASAP-0029653,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC2(CCC2)CC1,2024-07-15
46.357,42.993,49.985,1.189,4.33,ASAP-0029695,CC[C@H](C)OC1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)CC1 |&1:2|,2024-07-15
10.082,9.421,10.789,1.155,5.0,ASAP-0029696,COCCC1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)CC1,2024-07-15
1.711,1.61,1.818,1.165,5.77,ASAP-0029697,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC(C2CC2)CC1,2024-07-15
10.839,10.177,11.545,1.095,4.97,ASAP-0029662,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC2(CCOC2)CC1,2024-07-15
11.113,10.317,11.97,1.121,4.95,ASAP-0029656,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC2(CCCO2)CC1,2024-07-15
3.691,3.499,3.894,1.123,5.43,ASAP-0029582,"C[C@H]1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)[C@@H](C(F)(F)F)C1 |&1:1,18|",2024-07-15
25.162,23.622,26.802,1.131,4.6,ASAP-0029648,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC2(CC1)CCS2(=O)=O,2024-07-15
30.064,27.548,32.81,1.17,4.52,ASAP-0029583,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC([C@H]2CCCO2)CC1 |&1:17|,2024-07-15
54.649,50.77,58.825,1.144,4.26,ASAP-0029611,"COC[C@@H]1[C@H]2CCN(C(=O)CC3=CN=CC4=CC=CC=C34)C[C@H]21 |&1:3,4,22|",2024-07-15
27.019,24.984,29.221,1.213,4.57,ASAP-0029596,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC2(CCO2)CC1,2024-07-15
1.169,1.12,1.22,1.118,5.93,ASAP-0029598,"C[C@H]1C[C@@H](C(F)(F)F)CCN1C(=O)CC1=CN=CC2=CC=CC=C12 |&1:1,3|",2024-07-15
4.888,4.003,5.97,1.075,5.31,ASAP-0029600,CC1(F)CCN(C(=O)CC2=CN=CC3=CC=CC=C23)CC1,2024-07-15
2.738,2.595,2.889,1.138,5.56,ASAP-0029602,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC(CC2CC2)CC1,2024-07-15
4.732,4.499,4.977,1.135,5.32,ASAP-0029609,"O=C(CC1=CN=CC2=CC=CC=C12)N1C[C@@H]2[C@H](C1)[C@H]2C(F)(F)F |a:15,16,18|",2024-07-15
1.620,1.515,1.733,1.129,5.79,ASAP-0029628,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC2(CCCC2)CC1,2024-07-15
48.371,46.119,50.734,1.11,4.32,ASAP-0029620,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC2(CC1)CS(=O)(=O)C2,2024-07-15
3.087,2.779,3.428,1.141,5.51,ASAP-0029579,"C[C@H]1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)C[C@H]1F |&1:1,19|",2024-07-15
6.722,6.185,7.305,1.196,5.17,ASAP-0029591,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC(F)(F)CC1,2024-07-15
4.373,4.152,4.606,1.108,5.36,ASAP-0029639,COC1CC2(CCN(C(=O)CC3=CN=CC4=CC=CC=C34)CC2)C1,2024-07-15
49.901,45.712,54.474,1.202,4.3,ASAP-0029545,"O=C(CC1=CN=CC2=CC=CC=C12)N1C[C@@H]2[C@H](C1)[C@@H]2C(F)(F)F |a:15,16,18|",2024-07-15
49.724,46.404,53.281,1.218,4.3,ASAP-0029561,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC2(CCOCC2)CC1,2024-07-15
9.996,9.23,10.825,1.145,5.0,ASAP-0029576,"C[C@H]1[C@@H]2CN(C(=O)CC3=CN=CC4=CC=CC=C34)C[C@H]12 |a:1,2,19|",2024-07-15
53.030,49.607,56.689,1.186,4.28,ASAP-0029573,"O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H]2COC[C@H]2C1 |&1:16,&2:20|",2024-07-15
10.185,9.537,10.876,1.162,4.99,ASAP-0029550,"O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H]2CC[C@H]2C1 |&1:16,19|",2024-07-15
6.379,5.894,6.903,1.141,5.2,ASAP-0029564,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC2(CC1)CC2(F)F,2024-07-15
4.623,4.348,4.916,1.11,5.34,ASAP-0029565,CO[C@H](C)C1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)CC1 |&1:2|,2024-07-15
35.156,32.757,37.73,1.15,4.45,ASAP-0029558,"CO[C@H]1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)C[C@H]1C |&1:2,&2:20|",2024-07-15
25.554,23.292,28.037,1.157,4.59,ASAP-0029557,COC[C@H]1CC12CCN(C(=O)CC1=CN=CC3=CC=CC=C13)CC2 |&1:3|,2024-07-15
37.301,33.129,41.997,1.007,4.43,ASAP-0029556,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC([C@H]2CCO2)CC1 |&1:17|,2024-07-15
7.741,7.447,8.048,1.133,5.11,ASAP-0029551,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC2(CC1)C[C@H]2F |&1:20|,2024-07-15
25.643,23.424,28.072,1.183,4.59,ASAP-0029587,COC1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)CC1,2024-07-15
23.965,21.883,26.245,1.101,4.62,ASAP-0029482,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@]2(CC(C(F)F)=NO2)C1 |&1:16|,2024-07-08
53.815,49.327,58.711,1.118,4.27,ASAP-0029483,CN1C=C([C@H]2CCCCN2C(=O)CC2=CN=CC3=CC=CC=C23)C=N1 |&1:4|,2024-07-08
67.216,60.122,75.147,1.135,4.17,ASAP-0029485,CC1=CSC(C[C@H]2CCCN(C(=O)CC3=CN=CC4=CC=CC=C34)C2)=N1 |&1:6|,2024-07-08
17.717,15.967,19.659,1.099,4.75,ASAP-0029487,"O=C(CC1=CN=CC2=CC=CC=C12)N1C[C@H]2[C@@](C3=CC=CC=C3)(C1)CS2(=O)=O |&1:15,16|",2024-07-08
16.772,15.376,18.296,1.066,4.78,ASAP-0029488,O=C(C1=CC=CS1)C1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)CC1,2024-07-08
13.440,12.303,14.682,1.045,4.87,ASAP-0029418,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC(C2=CC=NO2)CC1,2024-07-08
7.993,7.024,9.096,1.03,5.1,ASAP-0029417,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H](C2=CC=CC(F)=C2)C1 |&1:17|,2024-07-08
72.716,64.496,81.984,1.123,4.14,ASAP-0029474,CCO[C@@H]1CCCN(C(=O)CC2=CN=CC3=CC=CC=C23)C1 |a:3|,2024-07-08
45.843,41.735,50.355,1.077,4.34,ASAP-0029500,CN1C=C([C@H]2CN(C(=O)CC3=CN=CC4=CC=CC=C34)CC2(C)C)C=N1 |&1:4|,2024-07-08
4.737,4.472,5.018,1.052,5.32,ASAP-0029502,C[C@H]1CC(F)(F)CCN1C(=O)CC1=CN=CC2=CC=CC=C12 |&1:1|,2024-07-08
96.930,84.371,111.358,1.139,4.01,ASAP-0029509,CC1=NN=C([C@H]2CCCCN2C(=O)CC2=CN=CC3=CC=CC=C23)O1 |&1:5|,2024-07-08
45.866,41.833,50.288,1.141,4.34,ASAP-0029510,CCC(=O)[C@H]1CCCCN1C(=O)CC1=CN=CC2=CC=CC=C12 |&1:4|,2024-07-08
6.326,5.684,7.041,1.077,5.2,ASAP-0029464,"O=C(CC1=CN=CC2=CC=CC=C12)N1C[C@H](C2=CC=CC=C2)[C@H]2CCC[C@H]21 |&1:15,&2:22,&3:26|",2024-07-08
34.863,31.186,38.974,1.116,4.46,ASAP-0029524,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC(CN2CCCC2=O)CC1,2024-07-08
13.840,12.938,14.804,1.041,4.86,ASAP-0029495,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](OC2=CC=CC(F)=C2)C1 |&1:16|,2024-07-08
56.475,51.297,62.175,1.085,4.25,ASAP-0029527,O=C(CC1=CN=CC2=CC=CC=C12)N1CC(F)(F)C(F)(F)C(F)(F)C1,2024-07-08
63.233,57.526,69.506,0.966,4.2,ASAP-0029528,CCC1=NC([C@H]2CCCN2C(=O)CC2=CN=CC3=CC=CC=C23)=NO1 |&1:5|,2024-07-08
61.199,56.642,66.124,1.056,4.21,ASAP-0029535,"O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H]2CCC[C@H]21 |&1:16,20|",2024-07-08
7.792,7.056,8.604,1.044,5.11,ASAP-0029536,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](C2=CC=CS2)C1 |&1:16|,2024-07-08
13.276,12.262,14.373,1.0,4.88,ASAP-0029537,COC1=CC=CC=C1C[C@H]1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)C1 |&1:9|,2024-07-08
72.628,64.648,81.592,1.034,4.14,ASAP-0029499,"C[C@H]1CN(C(=O)CC2=CN=CC3=CC=CC=C23)[C@H](C)CC1=O |&1:1,&2:17|",2024-07-08
39.070,35.857,42.569,1.086,4.41,ASAP-0029522,COC1=CC=CC=C1C[C@H]1CCCN1C(=O)CC1=CN=CC2=CC=CC=C12 |&1:9|,2024-07-08
3.261,2.98,3.568,1.11,5.49,ASAP-0029494,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC2=NOC=C2C1,2024-07-08
57.925,51.3,65.406,1.073,4.24,ASAP-0029490,"C[C@H]1CCC[C@H](CCN(C)C)N1C(=O)CC1=CN=CC2=CC=CC=C12 |&1:1,&2:5|",2024-07-08
9.747,8.749,10.86,1.078,5.01,ASAP-0029465,"COC[C@H]1CC[C@@H](C2=CC=C(F)C=C2)N1C(=O)CC1=CN=CC2=CC=CC=C12 |a:3,6|",2024-07-08
0.024,0.023,0.025,1.092,7.62,ASAP-0029469,"CC1=NN=C(NC[C@H]2CN(C3=CN=CC4=CC=CC=C34)C(=O)[C@@]23CN(CC2=NNC=C2)C(=O)C2=CC=C(Cl)C=C23)S1 |a:7,22|",2024-07-08
38.253,33.899,43.166,1.14,4.42,ASAP-0029472,"CC1(C)CN(C(=O)CC2=CN=CC3=CC=CC=C23)[C@H]2COC[C@H]21 |&1:18,22|",2024-07-08
43.141,38.799,47.969,1.078,4.37,ASAP-0029475,O=C(CC1=CN=CC2=CC=CC=C12)N1CCCC[C@H]1C1=NOC=N1 |&1:18|,2024-07-08
5.947,5.324,6.643,1.066,5.23,ASAP-0029476,COC1=CC=CC(C[C@H]2CCCN2C(=O)CC2=CN=CC3=CC=CC=C23)=C1 |&1:8|,2024-07-08
64.623,57.471,72.664,1.033,4.19,ASAP-0029489,CC1=NN(C[C@H]2CCCCN2C(=O)CC2=CN=CC3=CC=CC=C23)C(C)=C1 |&1:5|,2024-07-08
21.771,19.966,23.738,1.081,4.66,ASAP-0029459,"O=C(CC1=CN=CC2=CC=CC=C12)N1C[C@H]2C=C[C@H]1CC2 |&1:15,&2:18|",2024-07-08
45.370,39.401,52.242,1.127,4.34,ASAP-0029444,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H](C2CCOCC2)C1 |&1:17|,2024-07-08
95.154,82.241,110.094,1.164,4.02,ASAP-0029392,"O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@]2(C1)OC[C@H]1C[C@H]12 |&1:17,&2:21,23|",2024-07-08
28.482,24.493,33.12,1.127,4.55,ASAP-0029447,CCC1=CC=CC([C@H]2CCN(C(=O)CC3=CN=CC4=CC=CC=C34)C2)=C1 |&1:7|,2024-07-08
1.342,1.197,1.504,1.098,5.87,ASAP-0029448,"O=C(CC1=CN=CC2=CC=CC=C12)N1C[C@H]2CCCCCC[C@H]2C1 |&1:15,&2:22|",2024-07-08
55.984,48.336,64.842,1.161,4.25,ASAP-0029434,CCC1=NOC([C@H]2CCCN2C(=O)CC2=CN=CC3=CC=CC=C23)=C1 |&1:6|,2024-07-08
6.780,5.972,7.698,1.141,5.17,ASAP-0029438,"O=C(CC1=CN=CC2=CC=CC=C12)N1C[C@H]2COC[C@@]2(C2=CC=CC=C2)C1 |&1:15,19|",2024-07-08
88.789,76.942,102.461,1.169,4.05,ASAP-0029449,"CN1C[C@H]2[C@H](CCCN2C(=O)CC2=CN=CC3=CC=CC=C23)C1=O |&1:3,4|",2024-07-08
71.593,64.23,79.801,1.131,4.15,ASAP-0029452,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1CCCN1C=CC=N1 |&1:17|,2024-07-08
23.593,21.391,26.022,1.075,4.63,ASAP-0029426,"O=C(CC1=CN=CC2=CC=CC=C12)N1C[C@H]2CS(=O)(=O)C[C@H]2C1 |a:15,21|",2024-07-08
58.711,50.654,68.051,1.163,4.23,ASAP-0029439,"O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H]2CCO[C@H]2C1 |&1:16,20|",2024-07-08
1.613,1.5,1.734,1.111,5.79,ASAP-0029460,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC2(C=CC3=CC=CC=C3O2)CC1,2024-07-08
33.749,30.087,37.857,1.066,4.47,ASAP-0029425,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H](C2=NOC=C2)C1 |&1:17|,2024-07-08
58.423,53.229,64.122,1.106,4.23,ASAP-0029396,"CO[C@H]1[C@H]2C[C@H]3CN(C(=O)CC4=CN=CC5=CC=CC=C45)[C@H]1[C@H]3C2 |&1:2,&2:3,&3:5,&4:21,&5:22|",2024-07-08
6.859,5.604,8.395,0.971,5.16,ASAP-0029407,CC1(C2=CC=CC=C2)CCN(C(=O)CC2=CN=CC3=CC=CC=C23)CC1,2024-07-08
48.046,43.21,53.424,1.114,4.32,ASAP-0029414,O=C(CC1=CN=CC2=CC=CC=C12)N1CCCC[C@H]1CC(F)(F)F |&1:18|,2024-07-08
5.819,5.176,6.542,1.108,5.24,ASAP-0029400,"O=C(CC1=CN=CC2=CC=CC=C12)N1[C@H]2C=CC[C@H]1CCC2 |&1:14,&2:18|",2024-07-08
27.025,24.688,29.582,1.103,4.57,ASAP-0029411,"CCO[C@H]1C[C@H](C)N(C(=O)CC2=CN=CC3=CC=CC=C23)[C@H](C)C1 |&1:3,&2:5,&3:21|",2024-07-08
1.250,1.157,1.35,1.052,5.9,ASAP-0029408,CC(C)[C@]1(C#N)CCN(C(=O)CC2=CN=CC3=CC=CC=C23)C1 |&1:3|,2024-07-08
31.129,28.406,34.113,1.106,4.51,ASAP-0029413,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1C1=NOC(C2CC2)=C1 |&1:17|,2024-07-08
88.042,76.536,101.278,1.104,4.06,ASAP-0029405,CS(=O)(=O)CC[C@H]1CCCCN1C(=O)CC1=CN=CC2=CC=CC=C12 |&1:6|,2024-07-08
10.922,9.924,12.022,1.082,4.96,ASAP-0029403,"O=C(CC1=CN=CC2=CC=CC=C12)N1C[C@@H]2[C@H](C1)[C@H]2C(F)F |a:15,16,18|",2024-07-08
23.581,21.512,25.849,1.078,4.63,ASAP-0029402,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](S(=O)(=O)C(F)F)C1 |&1:16|,2024-07-08
92.097,83.927,101.062,1.298,4.04,ASAP-0029315,CC(C)C1=NC([C@H]2CCCN(C(=O)CC3=CN=CC4=CC=CC=C34)C2)=NO1 |&1:6|,2024-07-01
6.928,6.314,7.603,1.077,5.16,ASAP-0029271,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@]2(CC=CCO2)C1 |&1:16|,2024-07-01
85.523,75.185,97.282,1.248,4.07,ASAP-0029276,"C[C@H](F)[C@H]1CCCN1C(=O)CC1=CN=CC2=CC=CC=C12 |&1:1,&2:3|",2024-07-01
56.562,52.401,61.052,1.189,4.25,ASAP-0029282,CNS(=O)(=O)[C@H]1CCCN(C(=O)CC2=CN=CC3=CC=CC=C23)C1 |&1:5|,2024-07-01
22.463,20.947,24.09,1.081,4.65,ASAP-0029289,"O=C(CC1=CN=CC2=CC=CC=C12)N1[C@H]2CC[C@H]1C1=NC=CC=C12 |&1:14,&2:17|",2024-07-01
34.536,32.054,37.211,1.09,4.46,ASAP-0029293,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@@H](OC2=CC=C(F)C=C2)C1 |a:16|,2024-07-01
49.489,45.943,53.308,1.163,4.31,ASAP-0029300,CN1C=C([C@H]2CCCN2C(=O)CC2=CN=CC3=CC=CC=C23)C(C(F)F)=N1 |&1:4|,2024-07-01
1.044,0.986,1.106,1.131,5.98,ASAP-0029303,"COC1=CC=CC=C1[C@@H]1C[C@H](C)CCN1C(=O)CC1=CN=CC2=CC=CC=C12 |&1:8,10|",2024-07-01
8.608,7.885,9.398,1.148,5.07,ASAP-0029313,CO[C@]1(C(F)(F)F)CCN(C(=O)CC2=CN=CC3=CC=CC=C23)C1 |&1:2|,2024-07-01
92.564,80.242,106.779,1.169,4.03,ASAP-0029335,"O=C1C[C@H]2CCN(C(=O)CC3=CN=CC4=CC=CC=C34)C[C@H]2N1 |&1:3,21|",2024-07-01
68.212,62.925,73.944,1.126,4.17,ASAP-0029324,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@]2(C=CC3=CC=CC=C3O2)C1 |&1:17|,2024-07-01
55.521,50.818,60.658,1.16,4.26,ASAP-0029358,CN1N=CC=C1[C@H]1CCCN1C(=O)CC1=CN=CC2=CC=CC=C12 |&1:6|,2024-07-01
13.093,12.331,13.902,1.126,4.88,ASAP-0029365,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1C=CC1=CC=CS1 |&1:17|,2024-07-01
1.285,1.196,1.381,1.182,5.89,ASAP-0029363,"CC[C@H]1C[C@@H](C(F)(F)F)CCN1C(=O)CC1=CN=CC2=CC=CC=C12 |&1:2,4|",2024-07-01
8.437,7.743,9.192,1.157,5.07,ASAP-0029337,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](C2=CC=CC(F)=C2)C1 |&1:16|,2024-07-01
7.491,6.97,8.052,1.116,5.13,ASAP-0029353,"C[C@H]1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)[C@@H](C2CCOCC2)C1 |&1:1,18|",2024-07-01
5.445,5.1,5.813,1.146,5.26,ASAP-0029346,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@]2(CCCC3=CC=CC=C32)C1 |&1:16|,2024-07-01
0.893,0.845,0.944,1.173,6.05,ASAP-0029343,"O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H]2CCC(F)(F)C[C@H]2C1 |&1:16,&2:23|",2024-07-01
26.777,25.029,28.648,1.134,4.57,ASAP-0029342,C[C@]1(C2=CC=CC=C2)CCCN(C(=O)CC2=CN=CC3=CC=CC=C23)C1 |&1:1|,2024-07-01
4.337,4.046,4.65,1.09,5.36,ASAP-0029333,N#CC1(C2=CC=CC=C2)CCN(C(=O)CC2=CN=CC3=CC=CC=C23)CC1,2024-07-01
22.334,20.991,23.763,1.325,4.65,ASAP-0029049,C=CC[C@H](NC1=CC=C2CNCC2=C1)C1=CC(Cl)=CC2=C1C=NN2 |&1:3|,2024-06-17
0.221,0.205,0.238,1.236,6.66,ASAP-0029037,C=CC(=O)N1C[C@H](C(N)=O)CC2=CC=C(N(CC3=CC=CC(Cl)=C3)C(=O)CC3=CN=CC4=CC=CC=C34)C=C21 |&1:6|,2024-06-17
23.816,22.276,25.463,1.305,4.62,ASAP-0028977,C=CC[C@H](NC1=CC=CC(Cl)=C1)C1=CC=CC(C2=NNN=N2)=C1 |&1:3|,2024-06-10
27.689,25.336,30.26,1.507,4.56,ASAP-0028934,C=CC(=O)N1CCCCC2=CC=C(N(CC3=CC=C(Cl)C=C3)C(=O)CC3=CN=CC4=CC=CC=C34)C=C21,2024-06-03
0.055,0.053,0.057,1.459,7.26,ASAP-0028899,"CC(C)CNS(=O)(=O)OCC(=O)N1CCN(CC2=CC=CC(Cl)=C2)[C@H]2CS(=O)(=O)C[C@@H]21 |&1:24,30|",2024-06-03
0.027,0.026,0.029,1.29,7.56,ASAP-0028932,"O=C1C2=CC=C(Cl)C=C2[C@@]2(CN1CC1CNC1)C(=O)N(C1=CN=CC3=CC=CC=C13)C[C@@H]2CNC1=NN=CS1 |a:9,31|",2024-06-03
36.921,34.321,39.719,0.969,4.43,ASAP-0027971,C=CC[C@H](NC1=CC(Cl)=CC(NC(=O)OCC2=CC=CC=C2)=C1)C1=CC=CC(CN)=C1 |&1:3|,2024-05-20
38.228,35.69,40.946,1.475,4.42,ASAP-0028005,C=CC[C@H](NC1=CC=CC(C(=O)O)=C1)C1=CC(Cl)=CC2=C1C=NN2 |&1:3|,2024-05-20
77.791,72.399,83.585,1.957,4.11,ASAP-0027823,C=CC[C@H](NC1=CC=CC(C2=NNN=N2)=C1)C1=CC(Cl)=CC(NC(=O)OCC2=CC=CC=C2)=C1 |&1:3|,2024-05-13
0.040,0.033,0.048,1.755,7.4,ASAP-0022458,C=CC(=O)N1CCCC2=CC=C(N(CC3=CC=CC(C(F)(F)F)=C3)C(=O)CC3=CN=CC4=CC=CC=C34)C=C21,2024-03-19
0.039,0.037,0.042,1.479,7.41,ASAP-0022456,C=CC(=O)N1CCCC2=CC=C(N(CC3=CC=CC(Cl)=C3)C(=O)CC3=CN=CC4=C(F)C=CC=C34)C=C21,2024-03-19
1.305,0.902,1.888,1.708,5.88,ASAP-0022457,C=CC(=O)N1CCCC2=CC=C(N(CC3=CC=CC(C4=CC=CC=C4)=C3)C(=O)CC3=CN=CC4=CC=CC=C34)C=C21,2024-03-19
0.006,0.006,0.007,1.643,8.19,ASAP-0022459,C=CC(=O)N1CCCC2=CC=C(N(C(=O)CC3=CN=CC4=CC=CC=C34)N(C)C3=CC=CC(Cl)=C3)C=C21,2024-03-19
